(500,500,3) * 207qckeo(3(78; 207qckeo(3(78; 207qckeo(3(78; 1.05 34304 34198 34198 34198 1998.659964859155 1998.659964859155 1998.659964859155 1998.659964859155
(500,1500,3) 207qckeo(3(78;401hwlxk(3(1580;214rimsv(3(1874; 207qckeo(3(78;401hwlxk(3(1580;214rimsv(3(1874; 401hwlxk(3(1580;214rimsv(3(1874; 401hwlxk(3(1580;214rimsv(3(1874; 1.55 20502 20502 20608 20608 1999.57302883871 1999.57302883871 1999.57302883871 1999.57302883871
(500,2500,3) * * * * 1.47 35737 35737 35737 35737 1.013820434604 1.013820434604 1.013820434604 1.013820434604
(500,3500,3) 177ehnvp(3(1521;154meigz(3(1625;59jzsov(3(1737; 434gpmdk(3(889;177ehnvp(3(1521;154meigz(3(1625;59jzsov(3(1737; 177ehnvp(3(1521;154meigz(3(1625;59jzsov(3(1737; 434gpmdk(3(889;154yxenc(3(1501;177ehnvp(3(1521;154meigz(3(1625;59jzsov(3(1737; 1.31 32114.9 31855.7 32114.8 29725.8 1999.861582519084 1999.861582519084 1999.861582519084 1999.861582519084
(500,4500,3) 26gqtiw(3(285;434gpmdk(3(889;429vrbup(3(1679;304iwfbl(3(1714;243iewtd(3(1866; 26gqtiw(3(285;434gpmdk(3(889;59txljf(3(919;429vrbup(3(1679;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 434gpmdk(3(889;59txljf(3(919;429vrbup(3(1679;304iwfbl(3(1714;270xlbot(3(1899; 26gqtiw(3(285;270ytpma(3(584;434gpmdk(3(889;429vrbup(3(1679;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 1.43 31105.2 30356.5 30838.6 30472.3 1999.926165358974 1999.926165358974 1999.926165358974 1999.926165358974
(500,5500,3) 270ytpma(3(584;1fudzb(3(896;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;270ytpma(3(584;1fudzb(3(896;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 270ytpma(3(584;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;270ytpma(3(584;1fudzb(3(896;243iewtd(3(1866; 1.26 36968.7 36485.8 36389.8 37339.8 1999.002406396825 1999.002406396825 1999.002406396825 1999.002406396825
(500,6500,3) 436wmdvk(3(1567; 436wmdvk(3(1568; 436wmdvk(3(1568; 436wmdvk(3(1568; 1.31 29132.8 28057.6 28057.6 28057.6 1999.307220435115 1999.307220435115 1999.307220435115 1999.307220435115
(1500,500,3) 254mcipg(3(80;254ckepd(3(304; 207qckeo(3(78;254ckepd(3(304;334yjfts(3(942; 254ckepd(3(304; 207qckeo(3(78;254ckepd(3(304;334yjfts(3(942; 1.41 20477.2 20147.6 20635.6 20147.6 1999.452716877924 1999.452716877924 1999.452716877924 1999.452716877924
(1500,1500,3) * 207qckeo(3(78;334yjfts(3(942; 207qckeo(3(78;207wriyx(3(1709; 254ckepd(3(304; 1.05 37785 37297 37031.7 37482.2 1999.830948677656 1999.830948677656 1999.830948677656 1999.830948677656
(1500,2500,3) 21qjhsy(3(418; 21qjhsy(3(418; * * 1.95 19341 19341 19558 19558 1999.027406217391 1999.027406217391 1999.027406217391 1999.027406217391
(1500,3500,3) * * 434uqbrd(3(123; 434gpmdk(3(889; 1.54 36761 36761 36546.2 36502 1999.448120522235 1999.448120522235 1999.448120522235 1999.448120522235
(1500,4500,3) 26gqtiw(3(285;1fudzb(3(896;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;21qjhsy(3(418;21fcwqx(3(710;434gpmdk(3(889;304iwfbl(3(1714;270xlbot(3(1899; 21qjhsy(3(418;21fcwqx(3(710;304kwcge(3(976;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;21mnjsq(3(618;243iewtd(3(1866;270xlbot(3(1899; 1.93 32166.2 32161.3 31874.5 32725.3 1999.608892883938 1999.608892883938 1999.608892883938 1999.608892883938
(1500,5500,3) 26gqtiw(3(285;552jifbh(3(724;304kwcge(3(976;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;552jifbh(3(724;304kwcge(3(976;304iwfbl(3(1714;243iewtd(3(1866; 552jifbh(3(724;1fudzb(3(896;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 26gqtiw(3(285;552jifbh(3(724;304iwfbl(3(1714;243iewtd(3(1866;270xlbot(3(1899; 1.5 19047.6 20419.2 19837.1 20275.7 1999.911666340741 1999.911666340741 1999.911666340741 1999.911666340741
(1500,6500,3) * 552jifbh(3(724; * 552jifbh(3(724; 1.9 32256 32056.7 32256 32056.7 1999.309508023516 1999.309508023516 1999.309508023516 1999.309508023516
(2500,500,3) 207qckeo(3(78;240iqcxj(3(1693; 207qckeo(3(78;126lnrqy(3(767;207wriyx(3(1709; 254mcipg(3(80;254ckepd(3(304; 254mcipg(3(80;207qckeo(3(78; 1.48 28150 28245.8 28874.2 28919.6 1999.391669228292 1999.391669228292 1999.391669228292 1999.391669228292
(2500,1500,3) 254mcipg(3(80;254ckepd(3(304;334varnk(3(1487;240iqcxj(3(1694; 207qckeo(3(78;254ckepd(3(304;18ygnud(3(1276;334varnk(3(1487;240iqcxj(3(1693; 207qckeo(3(78;254ckepd(3(304;334varnk(3(1487;240iqcxj(3(1694; 207qckeo(3(78;334varnk(3(1487;240iqcxj(3(1694; 1.51 16509.4 17179.8 16561.8 16713.2 1999.840752284768 1999.840752284768 1999.840752284768 1999.840752284768
(2500,2500,3) * 21qjhsy(3(418; 21qjhsy(3(418; 21qjhsy(3(418; 1.95 19968 19533.9 19751 19751 1999.996632434783 1999.996632434783 1999.996632434783 1999.996632434783
(2500,3500,3) * 130qapik(3(1793; * * 1.19 30208.1 29686.4 30208 30208 1997.060069932773 1997.060069932773 1997.060069932773 1997.060069932773
(2500,4500,3) 1fudzb(3(896;304kwcge(3(976;243iewtd(3(1866; 26gqtiw(3(285;1fudzb(3(896;304kwcge(3(976;304iwfbl(3(1714;243iewtd(3(1866; 304iwfbl(3(1714;243iewtd(3(1866; 304iwfbl(3(1714;243iewtd(3(1866; 1.77 26013.7 25575.1 26352.6 26483.7 1999.756713700565 1999.756713700565 1999.756713700565 1999.756713700565
(2500,5500,3) 26gqtiw(3(285;1fudzb(3(896;195vaxrn(3(1582;130qapik(3(1793;243iewtd(3(1866; 304iwfbl(3(1714;243iewtd(3(1866; 304kwcge(3(976;195vaxrn(3(1582;304iwfbl(3(1714;243iewtd(3(1866;195esocl(3(1975; 304kwcge(3(976;304iwfbl(3(1714;243iewtd(3(1866; 1.75 21577.9 22173.9 20847.8 21904.8 1999.873910771429 1999.873910771429 1999.873910771429 1999.873910771429
(2500,6500,3) 552jifbh(3(724; * 552jifbh(3(724;195vaxrn(3(1582; 195vaxrn(3(1582; 1.91 25297.7 25098.3 25023.7 25223 1999.495374066931 1999.495374066931 1999.495374066931 1999.495374066931
(3500,500,3) 185lysrp(3(602; * 185bfjrq(3(702;185aiwxs(3(1521; 185lysrp(3(602;185bfjrq(3(702;185aiwxs(3(1521; 1.84 35794.3 35844.2 35066 35030.1 1999.292902 1999.292902 1999.292902 1999.292902
(3500,1500,3) * * * * 1.33 35328 35328 35328 35011.2 1978.447616983363 1978.447616983363 1978.447616983363 1978.447616983363
(3500,2500,3) 60tjgvz(3(1323; * 60tjgvz(3(1323; 60tjgvz(3(1323; 1.91 19870.6 20172 19870.7 20021.3 1998.625843362936 1998.625843362936 1998.625843362936 1998.625843362936
(3500,3500,3) 195fbtim(3(673;195hkbvr(3(1533; 195fbtim(3(673;195hkbvr(3(1533;195vaxrn(3(1582; 195vaxrn(3(1582; 195fbtim(3(673;195vaxrn(3(1582; 1.56 21122 21366.3 22151 21246.5 1999.759501511435 1999.759501511435 1999.759501511435 1999.759501511435
(3500,4500,3) 195hkbvr(3(1533; 53qurdp(3(307;195hkbvr(3(1533;195vaxrn(3(1582;304iwfbl(3(1714;130qapik(3(1793; 195esocl(3(1975; 304iwfbl(3(1714;130qapik(3(1793;243iewtd(3(1866; 1.69 23066.1 21534.9 23186.9 21962.6 1999.522912534517 1999.522912534517 1999.522912534517 1999.522912534517
(3500,5500,3) 552jifbh(3(724;195esocl(3(1975; 130qapik(3(1793;243iewtd(3(1866;195esocl(3(1975; 552jifbh(3(724;130qapik(3(1793;195esocl(3(1975; * 1.25 36094.6 35453.9 35310.7 35961 1999.82055376 1999.82055376 1999.82055376 1999.82055376
(3500,6500,3) 195vaxrn(3(1582; 195vaxrn(3(1582; * 195fbtim(3(673; 1.7 25563.9 25838 26112 25911 1999.605833551669 1999.605833551669 1999.605833551669 1999.605833551669
