(500,500,3) * * * * 1.12 25292 25292 25292 25292 547.853174285714 547.853174285714 547.853174285714 547.853174285714
(500,1500,3) * * * * 1.61 26521.1 26521 26521 26521 1896.56540952795 1896.56540952795 1896.56540952795 1896.56540952795
(500,2500,3) * * * * 1.59 19763 19763 19763 19763 477.519765603774 477.519765603774 477.519765603774 477.878604343036
(500,3500,3) * * * 684bprom(3(656; 1.24 19353 19353 19353 18467.2 1998.976401580645 1998.976401580645 1998.976401580645 1998.976401580645
(500,4500,3) * * * * 1.69 22220 22220 22220 22220 738.28001373792 738.28001373792 738.28001373792 738.28001373792
(500,5500,3) * * * * 1.63 32665 32665 32665 32665 1187.287687239264 1187.287687239264 1187.287687239264 1187.287687239264
(500,6500,3) * * * * 1.97 29388 29388 29388 29388 1051.679951106599 1051.679951106599 1051.679951106599 1051.679951106599
(1500,500,3) * * * * 1.26 30208 30208 30208 30208 505.706428858304 505.782914483932 505.706428858304 505.706428858304
(1500,1500,3) * * * * 1.6 30617 30617 30617 30617 458.466434933778 458.466434933778 458.466434933778 458.466434933778
(1500,2500,3) * * * * 1.39 25088 25088 25088 25088 1846.90964342446 1846.90964342446 1846.90964342446 1846.90964342446
(1500,3500,3) * * * * 1.38 25702 25702 25702 25702 758.733215478261 758.733215478261 758.733215478261 758.733215478261
(1500,4500,3) * * * * 1.05 18329 18329.1 18329 18329 656.59831352381 656.59831352381 656.59831352381 656.59831352381
(1500,5500,3) * * * * 1.43 20992 20992 20992 20992 885.448136272727 885.448136272727 885.938239676592 885.938239676592
(1500,6500,3) * * * * 1.97 22425 22425 22425 22425 551.537021152594 551.347031522843 551.347031522843 551.347031522843
(2500,500,3) * * * * 1.93 37990 37990 37990 37990 1541.309472870466 1541.309472870466 1541.309472870466 1541.309472870466
(2500,1500,3) * * * * 1.01 31232 31232 31232 31232 1544.061393425743 1544.061393425743 1544.061393425743 1544.061393425743
(2500,2500,3) * * * * 1.76 27545 27545 27545 27545 1698.753629220163 1698.753629220163 1698.753629220163 1698.753629220163
(2500,3500,3) * * * * 1.14 19968 19968 19968 19968 1613.992386756958 1613.992386756958 1613.992386756958 1613.992386756958
(2500,4500,3) * * * * 1.02 25702 25702 25702 25702 1728.610781159066 1728.610781159066 1728.610781159066 1728.610781159066
(2500,5500,3) * * * * 1.73 34508 34508 34508 34508 1234.946242703229 1234.946242703229 1234.77733566474 1234.77733566474
(2500,6500,3) * * * * 1.05 25292 25292 25292 25292 826.213108619048 826.213108619048 826.213108619048 826.213108619048
(3500,500,3) * * * * 1.57 33280 33280 33280 33280 1073.263685719659 1073.122521963363 1073.263685719659 1073.122521963363
(3500,1500,3) * * * * 1.85 31436 31436 31436 31436 1291.113469432432 1291.113469432432 1291.113469432432 1291.113469432432
(3500,2500,3) * * * * 1.31 22630 22630 22630 22630 1528.163164931298 1528.163164931298 1528.163164931298 1528.163164931298
(3500,3500,3) * * * * 1.34 33280 33280 33280 33280 656.943995696461 656.943995696461 656.943995696461 656.943995696461
(3500,4500,3) * * * * 1.58 36147 36147 36147 36147 601.577823987342 601.577823987342 601.577823987342 601.577823987342
(3500,5500,3) * * * * 1.77 23244 23244 23244 23244 1936.581015548023 1936.581015548023 1936.581015548023 1936.581015548023
(3500,6500,3) * * * * 1.66 36147 36147 36147 36147 1643.804496245731 1643.804496245731 1643.804496245731 1643.804496245731
(4500,500,3) * * * * 1.66 23244 23244 23244 23244 1860.888684658432 1860.888684658432 1860.96868798803 1860.96868798803
(4500,1500,3) * * * * 1.54 18534 18534 18534 18534 823.747655727273 823.747655727273 823.747655727273 823.747655727273
(4500,2500,3) 276zwjib(3(1618; 276zwjib(3(1619; 276zwjib(3(1619; 276zwjib(3(1618; 1.03 30719.2 29848.8 29848.8 30719.2 1998.470440009709 1998.470440009709 1998.470440009709 1998.470440009709
(4500,3500,3) * * * * 1.33 32256 32256 32256 32256 1321.226298669173 1321.226298669173 1321.226298669173 1321.226298669173
(4500,4500,3) * * * * 1.7 34918 34918 34918 34918 1871.376313376471 1871.376313376471 1871.376313376471 1871.376313376471
(4500,5500,3) * * * * 1.61 31641 31641 31641 31641 347.531549590062 347.531549590062 347.531549590062 347.531549590062
(4500,6500,3) * * * * 1.32 30822 30822 30822 30822 914.039245454545 914.039245454545 914.039245454545 914.039245454545
(5500,500,3) * * * * 1.09 17919.9 17920.1 17920 17920.1 1868.49332491365 1868.49332491365 1868.564454984965 1868.564454984965
(5500,1500,3) * * * * 1.41 22835 22835 22835 22835 1030.842262489362 1031.359475903885 1030.842262489362 1030.842262489362
(5500,2500,3) * * * * 1.05 30208 30208 30208 30208 1346.148019942857 1346.148019942857 1346.148019942857 1346.148019942857
(5500,3500,3) * * * * 1.18 28774 28774 28774.1 28773.9 1128.352066338983 1128.352066338983 1128.352066338983 1128.352066338983
(5500,4500,3) * * * * 1.34 18739 18739 18739 18739 1848.388182140706 1848.388182140706 1848.388182140706 1848.388182140706
(5500,5500,3) * * * * 1.62 22220 22220 22220 22220 1.122265824962 1.122265824962 1.122265824962 1.122265824962
(5500,6500,3) * * * * 1.48 27545 27545 27545 27545 1.119121798605 1.119121798605 1.119121798605 1.119121798605
(6500,500,3) * * * * 1.48 36147 36147 36147 36147 802.659937702703 802.659937702703 802.888441846285 802.888441846285
(6500,1500,3) * * * * 1.94 21606 21606 21606 21606 1427.310330752577 1427.310330752577 1427.310330752577 1427.310330752577
(6500,2500,3) * * * * 1.89 30208 30208 30208 30208 1212.501923740741 1212.501923740741 1212.501923740741 1212.501923740741
(6500,3500,3) * * * * 1.49 24064 24064 24064 24064 937.402818181208 937.402818181208 937.402818181208 937.402818181208
(6500,4500,3) * * * * 1.65 33894 33893.9 33894 33894 1201.699905313933 1201.699905313933 1201.699905313933 1201.699905313933
(6500,5500,3) * * * * 1.89 35532 35532 35532 35532 1.092814334673 1.092814334673 1.092814334673 1.092814334673
(6500,6500,3) * * * * 1.39 26521 26521 26521 26521 1.179465438058 1.179465438058 1.179465438058 1.179465438058
(7500,500,3) * * * * 1.51 31027 31027 31027 31027 1648.227030900662 1648.227030900662 1648.227030900662 1648.227030900662
(7500,1500,3) * * * * 1.77 35532 35532 35532 35532 1326.86386119774 1326.86386119774 1326.86386119774 1326.86386119774
(7500,2500,3) * * * * 1.32 26112 26112 26112 26112 992.604286727273 992.604286727273 992.604286727273 992.604286727273
(7500,3500,3) * * * * 1.96 35532.1 35532 35532 35532 1143.443681918367 1143.443681918367 1143.443681918367 1143.443681918367
(7500,4500,3) * * * * 1.92 38195 38195 38195 38195 801.980920666667 801.980920666667 801.980920666667 801.980920666667
(7500,5500,3) * * * * 1.44 31232 31232 31232 31232 1.199780930544 1.199780930544 1.199780930544 1.199780930544
(7500,6500,3) * * * * 1.55 37785 37785 37785 37785 1.038395177887 1.038395177887 1.038395177887 1.038395177887
(8500,500,3) * * * * 1.96 32051 32051 32051 32051 1.17494395151 1.17494395151 1.17494395151 1.17494395151
(8500,1500,3) * * * * 1.6 28774 28774 28774 28774 706.9276556 706.9276556 706.9276556 706.9276556
(8500,2500,3) * * * * 1.78 32256 32256 32256 32256 113.018779462814 112.821338786517 112.821338786517 112.821338786517
(8500,3500,3) * * * * 1.91 20992 20992 20992 20992 522.488284753694 522.488284753694 522.488284753694 522.488284753694
(8500,4500,3) * * * * 1.56 19763 19763 19763 19763 219.007088340416 219.007088340416 219.007088340416 219.007088340416
(8500,5500,3) * * * * 1.2 34304 34304 34304 34304 1.16339060246 1.16339060246 1.16339060246 1.16339060246
(8500,6500,3) * * * * 1.77 21401 21401 21401 21401 1.118129141422 1.118129141422 1.118129141422 1.118129141422
